lag,full_res,half_pyramid
513,-0.000157,-0.000311
514,-0.000560,0.000080
515,0.000124,0.000111
516,-0.000502,0.000023
517,0.000364,0.000090
518,0.000680,-0.000019
519,0.000225,-0.000058
520,0.000589,0.000193
521,0.000289,0.000247
522,0.000006,0.000099
523,0.000046,-0.000089
524,0.000524,0.000122
525,0.000046,0.000095
526,0.000495,0.000033
527,0.000183,0.000023
528,-0.000110,0.000019
529,-0.000213,0.000045
530,0.000314,-0.000019
531,0.000582,-0.000049
532,-0.000272,0.000063
533,0.000163,0.000105
534,0.000692,0.000041
535,0.000623,-0.000001
536,0.000289,0.000155
537,0.000223,0.000046
538,0.000094,0.000005
539,0.000175,-0.000041
540,0.001420,-0.000029
541,0.000235,0.000024
542,0.000322,0.000035
543,0.000141,0.000010
544,0.000595,-0.000033
545,-0.000053,0.000018
546,0.000671,-0.000016
547,0.000054,0.000029
548,0.000084,-0.000031
549,0.000314,0.000119
550,0.000231,0.000093
551,0.000376,0.000007
552,0.000288,0.000063
553,0.000173,-0.000029
554,0.000158,0.000062
555,0.000262,0.000037
556,0.000396,-0.000003
557,0.000254,-0.000015
558,-0.000032,0.000073
559,0.000174,0.000056
560,0.000693,0.000065
561,0.000543,-0.000026
562,0.000334,-0.000013
563,0.000222,0.000016
564,0.000064,0.000167
565,0.000454,-0.000022
566,0.000239,0.000004
567,0.000371,-0.000043
568,0.000064,-0.000011
569,0.000051,-0.000004
570,0.000502,-0.000009
571,-0.000197,0.000002
572,-0.000039,0.000069
573,0.000282,0.000201
574,0.000392,0.000077
575,0.000818,0.000049
576,0.000124,0.000047
577,0.000065,0.000077
578,-0.000002,0.000024
579,0.000244,0.000017
580,0.000322,0.000027
581,0.000179,0.000044
582,-0.000141,-0.000004
583,0.000310,0.000016
584,0.000383,0.000046
585,0.000203,0.000059
586,0.000604,0.000065
587,0.000237,0.000082
588,0.000192,0.000035
589,0.000155,0.000002
590,-0.000057,0.000038
591,0.000839,0.000022
592,0.000023,0.000013
593,-0.000209,0.000053
594,-0.000242,0.000045
595,0.000148,0.000018
596,-0.000045,0.000052
597,0.000267,0.000044
598,0.000133,-0.000019
599,-0.000170,0.000004
600,0.000057,0.000047
601,0.000399,-0.000046
602,-0.000045,0.000082
603,0.000318,0.000031
604,0.000220,0.000036
605,0.000046,0.000077
606,0.000268,0.000007
607,-0.000028,0.000019
608,-0.000168,0.000020
609,0.000381,0.000023
610,0.000069,0.000058
611,0.000107,0.000029
612,0.000147,0.000024
613,0.000203,0.000006
614,-0.000202,-0.000017
615,0.000024,0.000011
616,0.000114,0.000038
617,0.000109,0.000036
618,0.000070,0.000037
619,0.000205,0.000079
620,0.000440,-0.000020
621,0.000831,0.000003
622,0.000226,0.000041
623,0.000221,0.000049
624,0.000109,0.000014
625,-0.000042,0.000010
626,-0.000073,0.000002
627,0.000258,0.000027
628,-0.000113,0.000014
629,-0.000117,0.000001
630,-0.000001,-0.000005
631,0.000089,0.000010
632,-0.000046,0.000033
633,0.000086,0.000019
634,0.000081,0.000004
635,0.000109,0.000007
636,-0.000091,0.000005
637,-0.000120,0.000032
638,0.000076,0.000003
639,0.000159,-0.000003
640,0.000080,0.000040
641,0.000101,0.000034
642,-0.000024,0.000027
643,-0.000010,0.000011
644,-0.000082,0.000033
645,0.000310,0.000023
646,-0.000074,0.000018
647,-0.000014,0.000026
648,-0.000015,0.000034
649,0.000085,0.000038
650,0.000111,0.000029
651,0.000071,0.000004
652,0.000114,0.000010
653,0.000074,0.000032
654,0.000084,-0.000003
655,0.000077,0.000032
656,0.000049,0.000029
657,0.000086,0.000007
658,0.000194,0.000019
659,0.000190,0.000003
660,0.000248,0.000016
661,-0.000037,0.000014
662,-0.000013,0.000017
663,0.000012,0.000023
664,0.000083,0.000005
665,-0.000003,0.000014
666,0.000020,0.000024
667,0.000066,-0.000003
668,-0.000014,0.000007
669,-0.000005,0.000032
670,-0.000019,0.000011
671,0.000160,0.000001
672,-0.000024,0.000022
673,-0.000046,0.000009
674,-0.000066,-0.000008
675,-0.000003,-0.000003
676,0.000188,0.000016
677,0.000060,0.000035
678,0.000159,0.000005
679,0.000206,0.000018
680,0.000028,0.000002
681,0.000049,-0.000002
682,-0.000069,0.000004
683,-0.000064,0.000007
684,0.000006,0.000007
685,-0.000036,0.000014
686,0.000026,0.000016
687,0.000174,0.000024
688,0.000048,0.000009
689,-0.000000,-0.000006
690,-0.000013,0.000005
691,0.000002,0.000007
692,0.000119,0.000002
693,0.000058,0.000001
694,0.000088,0.000002
695,0.000039,0.000002
696,0.000064,0.000001
697,0.000099,0.000012
698,-0.000017,0.000021
699,0.000148,0.000004
700,0.000057,0.000005
701,0.000001,0.000008
702,0.000036,0.000016
703,0.000024,0.000010
704,0.000135,0.000013
705,0.000048,0.000009
706,0.000031,0.000005
707,-0.000035,0.000018
708,0.000314,0.000013
709,0.000054,0.000006
