lag,raw,whitened
685,5472342.000000,0.000059
686,5405432.000000,-0.000036
687,5338974.000000,-0.000008
688,5272929.000000,0.000082
689,5207267.000000,0.000163
690,5142155.500000,0.000027
691,5077695.000000,-0.000036
692,5013914.500000,0.000037
693,4950881.000000,0.000050
694,4888694.500000,0.000123
695,4827444.000000,0.000011
696,4767077.000000,-0.000005
697,4707434.000000,-0.000033
698,4648301.000000,0.000078
699,4589413.000000,0.000038
700,4530587.000000,0.000002
701,4471938.000000,0.000005
702,4413704.000000,0.000012
703,4356037.000000,-0.000045
704,4298979.500000,-0.000110
705,4242487.000000,-0.000023
706,4186447.000000,0.000031
707,4130799.500000,-0.000051
708,4075639.000000,-0.000103
709,4021078.750000,-0.000086
710,3967044.000000,-0.000086
711,3913453.500000,-0.000084
712,3860302.250000,-0.000049
713,3807557.500000,0.000122
714,3755159.750000,-0.000015
715,3703027.000000,-0.000084
716,3651126.250000,-0.000041
717,3599440.500000,-0.000071
718,3547942.250000,0.000019
719,3496610.500000,-0.000029
720,3445436.500000,-0.000003
721,3394454.500000,0.000080
722,3343872.750000,-0.000014
723,3293828.500000,0.000014
724,3244345.500000,0.000080
725,3195423.750000,-0.000065
726,3146875.250000,-0.000064
727,3098624.500000,-0.000092
728,3050698.000000,-0.000075
729,3003184.750000,-0.000050
730,2956159.000000,-0.000067
731,2909635.500000,-0.000082
732,2863701.500000,-0.000066
733,2818417.500000,-0.000072
734,2773743.500000,-0.000067
735,2729633.500000,0.000005
736,2686063.000000,0.000059
737,2642948.500000,0.000050
738,2600250.500000,0.000001
739,2557934.500000,-0.000062
740,2515964.000000,-0.000072
741,2474357.250000,-0.000073
742,2433083.000000,-0.000048
743,2392127.750000,-0.000005
744,2351456.500000,0.000001
745,2311080.250000,-0.000047
746,2270981.250000,0.000047
747,2231174.000000,0.000015
748,2191698.500000,0.000008
749,2152615.500000,-0.000036
750,2113911.500000,0.000043
751,2075556.125000,0.000055
752,2037437.625000,0.000081
753,1999513.000000,0.000066
754,1961795.625000,0.000021
755,1924269.250000,-0.000041
756,1887003.000000,-0.000047
757,1850102.875000,-0.000057
758,1813590.000000,-0.000071
759,1777508.125000,-0.000063
760,1741916.500000,-0.000063
761,1706845.500000,-0.000089
762,1672263.250000,-0.000017
763,1638077.000000,0.000017
764,1604208.500000,0.000248
765,1570656.250000,0.000276
766,1537580.375000,0.000151
767,1505140.500000,0.000661
768,1472756.750000,0.001894
769,1439952.250000,0.000627
770,1407460.125000,0.000130
771,1375894.500000,0.000258
772,1345126.250000,0.000201
773,1315028.000000,-0.000008
774,1285553.250000,-0.000006
775,1256707.875000,-0.000048
776,1228533.500000,-0.000063
777,1201091.625000,-0.000058
778,1174356.250000,-0.000057
779,1148216.250000,-0.000039
780,1122587.000000,-0.000040
781,1097356.000000,-0.000018
782,1072450.250000,-0.000024
783,1047819.125000,0.000031
784,1023470.687500,0.000056
785,999396.125000,0.000004
786,975591.312500,-0.000008
787,952080.875000,-0.000032
788,928931.312500,-0.000039
789,906208.687500,-0.000032
790,883898.187500,-0.000033
791,862002.375000,-0.000058
792,840505.000000,0.000012
793,819431.750000,-0.000011
794,798825.937500,-0.000036
795,778700.875000,-0.000031
796,759062.187500,-0.000005
797,739946.250000,0.000033
798,721334.875000,0.000039
